iter	RMSE
0	1174.994883
1	1075.644709
2	987.121466
3	909.3532847
4	840.0307007
5	779.2296352
6	725.9768886
7	679.6754332
8	638.6687852
9	603.648928
10	573.8221598
11	546.0976183
12	522.4006425
13	502.7632017
14	486.3311828
15	470.2939706
16	457.3229488
17	446.5447204
18	437.1938301
19	429.1030383
20	420.6982054
21	412.3464815
22	406.4199891
23	400.3139581
24	396.3355562
25	390.2529142
26	384.068402
27	379.1829542
28	374.7444886
29	370.9867914
30	367.776807
31	365.0693513
32	362.2700675
33	359.2663589
34	356.9029032
35	353.7837671
36	350.2497177
37	348.3858163
38	345.4196091
39	343.8839798
40	341.5972945
41	338.9169236
42	337.6904681
43	336.084759
44	334.1452183
45	332.7682203
46	331.8168461
47	330.360908
48	327.9704081
49	325.9114991
50	324.1903431
51	322.6196893
52	321.4709667
53	320.55427
54	318.9942692
55	316.8376553
56	315.2535992
57	314.4053921
58	313.1592719
59	312.1262537
60	310.8409233
61	309.4354314
62	308.804912
63	307.7142254
64	306.202006
65	305.2991032
66	304.2909463
67	303.4456095
68	302.4849458
69	301.1218319
70	300.1294391
71	299.0794758
72	298.0385865
73	297.1499339
74	296.2375487
75	295.5542552
76	294.7993611
77	294.0769294
78	292.7783355
79	291.9882516
80	291.3302773
81	290.6896994
82	289.7549684
83	288.993652
84	288.3369575
85	287.7057908
86	287.2342894
87	286.6393039
88	285.7788431
89	284.9668254
90	283.9939833
91	283.3282328
92	282.9665695
93	282.3554797
94	281.5715813
95	280.9069452
96	280.3883751
97	279.8008792
98	278.9397494
99	278.4415225
100	277.293475
101	276.8491519
102	276.2469288
103	275.6725542
104	275.1780055
105	274.7235115
106	274.2680017
107	273.9300237
108	273.2490866
109	272.712075
110	272.2219315
111	271.7738156
112	271.2260468
113	270.7983454
114	270.252571
115	269.7893757
116	269.4194764
117	268.919579
118	268.3703404
119	267.9014897
120	267.3461829
121	266.804441
122	266.4085062
123	266.0574183
124	265.6350082
125	265.1698637
126	264.815609
127	264.2269639
128	263.2052209
129	262.7593083
130	262.3850488
131	261.9335334
132	261.4976373
133	261.0620507
134	260.7230745
135	260.4151169
136	259.9644271
137	259.4611249
138	259.1754191
139	258.81509
140	258.6047131
141	258.2401237
142	257.984902
143	257.6359203
144	257.3048669
145	256.9406422
146	256.6661979
147	256.19268
148	255.7817383
149	255.4821179
150	254.9278559
151	254.4733406
152	254.0853164
153	253.4956251
154	253.133984
155	252.7434117
156	252.4980296
157	252.0971586
158	251.9362025
159	251.605511
160	251.2535727
161	251.0240722
162	250.7295238
163	250.3910206
164	249.9204707
165	249.5832779
166	249.1801646
167	248.9446312
168	248.6017596
169	248.2351157
170	247.9094641
171	247.6284189
172	247.3557497
173	247.046956
174	246.4889594
175	245.9860134
176	245.6582853
177	245.2845744
178	244.9637075
179	244.4911382
180	244.2423599
181	243.9605595
182	243.6629044
183	243.2959759
184	243.1690953
185	242.9201398
186	242.6044605
187	242.0204406
188	241.7229059
189	241.4463319
190	241.2089732
191	240.966042
192	240.6710561
193	240.5097961
194	240.1804457
195	239.6927148
196	239.5067274
197	239.2287915
198	239.0737529
199	238.8180154
