iter	Passed	Remaining
0	27	5373
1	53	5256
2	77	5064
3	100	4925
4	126	4929
5	156	5062
6	181	5014
7	203	4876
8	224	4773
9	247	4710
10	270	4655
11	293	4598
12	315	4533
13	336	4469
14	358	4424
15	380	4371
16	402	4329
17	423	4283
18	445	4240
19	466	4194
20	487	4158
21	513	4158
22	534	4116
23	556	4081
24	579	4053
25	599	4010
26	620	3977
27	642	3949
28	664	3916
29	686	3889
30	707	3858
31	728	3823
32	749	3793
33	771	3767
34	793	3740
35	817	3724
36	840	3704
37	862	3675
38	884	3651
39	904	3617
40	925	3589
41	946	3560
42	967	3531
43	989	3507
44	1009	3476
45	1030	3449
46	1050	3420
47	1074	3401
48	1095	3374
49	1116	3350
50	1138	3325
51	1159	3301
52	1180	3273
53	1202	3249
54	1225	3229
55	1245	3203
56	1268	3182
57	1289	3156
58	1311	3133
59	1332	3109
60	1354	3085
61	1374	3060
62	1394	3032
63	1415	3008
64	1437	2985
65	1458	2962
66	1480	2939
67	1500	2912
68	1522	2890
69	1544	2867
70	1565	2845
71	1588	2823
72	1609	2800
73	1631	2777
74	1652	2754
75	1673	2730
76	1694	2707
77	1715	2683
78	1737	2661
79	1758	2637
80	1779	2614
81	1801	2592
82	1822	2568
83	1843	2545
84	1864	2522
85	1885	2498
86	1904	2474
87	1925	2450
88	1947	2428
89	1968	2406
90	1991	2385
91	2014	2365
92	2036	2343
93	2058	2321
94	2081	2300
95	2101	2276
96	2123	2254
97	2145	2232
98	2169	2213
99	2189	2189
100	2210	2166
101	2230	2143
102	2252	2120
103	2273	2098
104	2293	2074
105	2313	2051
106	2334	2029
107	2355	2006
108	2378	1985
109	2398	1962
110	2419	1940
111	2440	1917
112	2462	1895
113	2484	1874
114	2506	1852
115	2527	1830
116	2549	1808
117	2571	1787
118	2594	1766
119	2615	1743
120	2638	1722
121	2658	1699
122	2680	1678
123	2701	1655
124	2721	1632
125	2743	1611
126	2764	1589
127	2784	1566
128	2808	1545
129	2829	1523
130	2849	1500
131	2871	1479
132	2893	1457
133	2914	1435
134	2934	1413
135	2956	1391
136	2977	1369
137	2998	1347
138	3018	1324
139	3041	1303
140	3061	1280
141	3082	1259
142	3103	1236
143	3124	1215
144	3147	1193
145	3167	1171
146	3190	1150
147	3212	1128
148	3233	1106
149	3253	1084
150	3275	1062
151	3296	1040
152	3316	1018
153	3338	997
154	3361	975
155	3382	954
156	3404	932
157	3425	910
158	3446	888
159	3467	866
160	3489	845
161	3510	823
162	3530	801
163	3552	779
164	3574	758
165	3595	736
166	3617	714
167	3639	693
168	3659	671
169	3682	649
170	3705	628
171	3726	606
172	3749	585
173	3771	563
174	3793	541
175	3814	520
176	3835	498
177	3857	476
178	3878	454
179	3900	433
180	3923	411
181	3945	390
182	3967	368
183	3988	346
184	4010	325
185	4031	303
186	4053	281
187	4073	260
188	4095	238
189	4117	216
190	4137	194
191	4158	173
192	4180	151
193	4201	129
194	4224	108
195	4245	86
196	4265	64
197	4287	43
198	4308	21
199	4330	0
