,Year,Dist Name,State Name,Dist Code,State Code,Crop,Area (1000 ha),Production (1000 tons),Yield (Kg per ha)
0,1978,Saharanpur,Uttar Pradesh,189,12,RICE,97.4,158.0,1622.18
1,1979,Saharanpur,Uttar Pradesh,189,12,RICE,110.7,122.1,1102.98
2,1980,Saharanpur,Uttar Pradesh,189,12,RICE,106.2,175.7,1654.43
3,1981,Saharanpur,Uttar Pradesh,189,12,RICE,88.9,111.7,1256.47
4,1982,Saharanpur,Uttar Pradesh,189,12,RICE,83.8,138.4,1651.55
5,1983,Saharanpur,Uttar Pradesh,189,12,RICE,85.3,163.4,1915.59
6,1984,Saharanpur,Uttar Pradesh,189,12,RICE,100.0,208.9,2089.0
7,1985,Saharanpur,Uttar Pradesh,189,12,RICE,105.0,252.7,2406.67
8,1986,Saharanpur,Uttar Pradesh,189,12,RICE,101.2,191.1,1888.34
9,1987,Saharanpur,Uttar Pradesh,189,12,RICE,78.4,147.4,1880.1
10,1988,Saharanpur,Uttar Pradesh,189,12,RICE,85.7,198.0,2310.39
11,1989,Saharanpur,Uttar Pradesh,189,12,RICE,114.0,232.0,2035.09
12,1990,Saharanpur,Uttar Pradesh,189,12,RICE,86.72,208.42,2403.37
13,1991,Saharanpur,Uttar Pradesh,189,12,RICE,83.13,198.26,2384.94
14,1992,Saharanpur,Uttar Pradesh,189,12,RICE,94.87,242.1,2551.91
15,1993,Saharanpur,Uttar Pradesh,189,12,RICE,100.21,196.17,1957.59
16,1994,Saharanpur,Uttar Pradesh,189,12,RICE,96.62,222.8,2305.94
17,1995,Saharanpur,Uttar Pradesh,189,12,RICE,93.02,240.61,2586.65
18,1996,Saharanpur,Uttar Pradesh,189,12,RICE,90.15,234.83,2604.88
19,1997,Saharanpur,Uttar Pradesh,189,12,RICE,98.23,256.19,2608.06
20,1998,Saharanpur,Uttar Pradesh,189,12,RICE,101.57,240.13,2364.18
21,1999,Saharanpur,Uttar Pradesh,189,12,RICE,98.61,232.13,2354.02
22,2000,Saharanpur,Uttar Pradesh,189,12,RICE,94.79,219.24,2312.9
23,2001,Saharanpur,Uttar Pradesh,189,12,RICE,86.39,191.57,2217.5
24,2002,Saharanpur,Uttar Pradesh,189,12,RICE,74.12,168.95,2279.41
25,2003,Saharanpur,Uttar Pradesh,189,12,RICE,73.26,148.65,2029.07
26,2004,Saharanpur,Uttar Pradesh,189,12,RICE,51.46,110.95,2156.04
27,2005,Saharanpur,Uttar Pradesh,189,12,RICE,74.53,169.77,2277.87
28,2006,Saharanpur,Uttar Pradesh,189,12,RICE,59.67,128.35,2151.0
29,2007,Saharanpur,Uttar Pradesh,189,12,RICE,57.18,129.64,2267.23
30,2008,Saharanpur,Uttar Pradesh,189,12,RICE,66.74,148.24,2221.16
31,2009,Saharanpur,Uttar Pradesh,189,12,RICE,77.86,175.38,2252.5
32,2010,Saharanpur,Uttar Pradesh,189,12,RICE,73.61,150.25,2041.16
33,2011,Saharanpur,Uttar Pradesh,189,12,RICE,73.32,162.98,2222.86
34,2012,Saharanpur,Uttar Pradesh,189,12,RICE,67.62,172.1,2545.1
35,2013,Saharanpur,Uttar Pradesh,189,12,RICE,69.58,164.6,2365.62
36,2014,Saharanpur,Uttar Pradesh,189,12,RICE,75.58,184.64,2442.97
37,2015,Saharanpur,Uttar Pradesh,189,12,RICE,86.82,196.19,2259.73
38,2016,Saharanpur,Uttar Pradesh,189,12,RICE,72.43,172.65,2383.63
39,2017,Saharanpur,Uttar Pradesh,189,12,RICE,70.55,185.44,2628.49
40,1978,Muzaffarnagar,Uttar Pradesh,190,12,RICE,45.5,71.8,1578.02
41,1979,Muzaffarnagar,Uttar Pradesh,190,12,RICE,49.8,67.0,1345.38
42,1980,Muzaffarnagar,Uttar Pradesh,190,12,RICE,47.9,64.6,1348.64
43,1981,Muzaffarnagar,Uttar Pradesh,190,12,RICE,37.0,53.9,1456.76
44,1982,Muzaffarnagar,Uttar Pradesh,190,12,RICE,33.8,60.4,1786.98
45,1983,Muzaffarnagar,Uttar Pradesh,190,12,RICE,42.4,87.6,2066.04
46,1984,Muzaffarnagar,Uttar Pradesh,190,12,RICE,40.9,83.5,2041.56
47,1985,Muzaffarnagar,Uttar Pradesh,190,12,RICE,48.1,125.2,2602.91
48,1986,Muzaffarnagar,Uttar Pradesh,190,12,RICE,47.6,114.1,2397.06
